appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1522101786,vivo V3Max A,59.63.237.165:1935,9180_963477,206,2,1200,35652544,1524242438841,2018-04-21 00:40:40
1253216102,9180,615289712,vivo X21A,223.167.152.106:1935,9180_913529,73,1,1800,47187200,1524242462393,2018-04-21 00:41:01
1253216102,9180,1527600303,OPPO A59s,27.152.185.167:1935,9180_899943,60,1,1200,35652544,1524242510854,2018-04-21 00:41:53
1253216102,9180,1524799268,vivo X9,223.111.153.37:1935,9180_924465,108,1,1200,35652544,1524242530512,2018-04-21 00:42:19
1253216102,9180,1518603690,PIC-AL00,122.246.3.167:1935,9180_970828,93,2,1200,35652544,1524242546513,2018-04-21 00:42:31
1253216102,9180,1515900514,vivo Y66i,117.187.206.44:1935,9180_957496,140,2,1200,35652544,1524242558768,2018-04-21 00:42:32
1253216102,9180,1529465283,FRD-AL10,42.202.141.39:1935,9180_955398,599,1,1200,35652544,1524242549934,2018-04-21 00:42:32
1253216102,9180,1525812271,OPPO R11s,1.31.173.37:1935,9180_934022,79,2,1200,35652544,1524242558402,2018-04-21 00:42:40
1253216102,9180,1519291307,vivo V3M A,117.169.71.167:1935,9180_946637,61,1,1200,35652544,1524242575361,2018-04-21 00:42:56
1253216102,9180,1529365916,OPPO R11st,221.180.165.28:1935,9180_954383,142,1,1800,47187200,1524242594548,2018-04-21 00:43:24
1253216102,9180,1522939926,OPPO R11 Plusk,1.180.204.166:1935,9180_931158,118,1,800,24117888,1524242613395,2018-04-21 00:43:34
1253216102,9180,956628270,vivo X9,118.180.26.40:1935,9180_215557,159,2,1200,35652544,1524242616347,2018-04-21 00:43:36
1253216102,9180,1800421542,iPhone 6 Plus,111.7.189.165:1935,9180_1000005277,44,1,1200,35652544,1524242623991,2018-04-21 00:43:51
1253216102,9180,1515974157,vivo V3Max A,111.19.130.165:1935,9180_959616,96,1,1200,35652544,1524242631610,2018-04-21 00:44:05
1253216102,9180,1519930596,vivo X20A,157.255.128.37:1935,9180_971388,144,3,1200,35652544,1524242653762,2018-04-21 00:44:14
1253216102,9180,1518902128,vivo X9s,123.6.6.28:1935,9180_961220,35,1,1200,35652544,1524242692322,2018-04-21 00:44:54
1253216102,9180,1518102681,vivo X20A,1.180.204.167:1935,9180_966597,333,2,1200,35652544,1524242727961,2018-04-21 00:45:31
1253216102,9180,1526147395,EVA-TL00,183.2.192.168:1935,9180_923126,283,1,1200,35652544,1524242734041,2018-04-21 00:45:34
1253216102,9180,1515867877,HUAWEI MLA-AL10,182.150.11.34:1935,9180_956569,168,1,800,24117888,1524242740949,2018-04-21 00:45:44
1253216102,9180,1534359116,OPPO A57,125.78.252.38:1935,9180_897704,50,1,800,24117888,1524242791381,2018-04-21 00:46:30
1253216102,9180,1517877260,vivo Y67,59.49.91.158:1935,9180_968439,101,1,1200,35652544,1524242806641,2018-04-21 00:46:43
1253216102,9180,1518300232,OPPO R7,182.150.11.35:1935,9180_967320,80,1,1200,35652544,1524242832621,2018-04-21 00:47:14
1253216102,9180,1519930372,vivo X20A,183.2.192.37:1935,9180_971390,131,1,1200,35652544,1524242915368,2018-04-21 00:48:35
1253216102,9180,1521693280,vivo Y66,111.62.242.159:1935,9180_949241,112,1,1200,35652544,1524242926333,2018-04-21 00:48:51
1253216102,9180,1519930597,vivo Y55A,218.75.176.89:1935,9180_971389,206,2,1200,35652544,1524242935349,2018-04-21 00:48:57
1253216102,9180,1518279490,"iPhone10,2",121.51.40.112:1935,9180_967184,47,1,0,35652544,1524242969540,2018-04-21 00:49:29
1253216102,9180,951831009,DUK-AL20,223.87.3.35:1935,9180_759460,27,1,1200,35652544,1524243011933,2018-04-21 00:50:12
1253216102,9180,1522037235,vivo Y51A,61.128.151.35:1935,9180_950325,36,1,1200,35652544,1524243033995,2018-04-21 00:50:34
1253216102,9180,955569271,vivo X20,58.216.107.38:1935,9180_775163,34,1,1200,35652544,1524243039850,2018-04-21 00:50:39
1253216102,9180,1519440144,NEM-TL00,117.187.206.44:1935,9180_969560,671,2,1200,35652544,1524243070675,2018-04-21 00:51:11
1253216102,9180,1515910695,vivo X7,61.140.13.168:1935,9180_957623,78,1,1200,35652544,1524243074422,2018-04-21 00:51:20
1253216102,9180,1519930371,SM-C7010,121.51.40.112:1935,9180_971391,23,1,1200,35652544,1524243075992,2018-04-21 00:51:20
1253216102,9180,1681739118,"iPhone10,3",112.29.199.38:1935,9180_84383,156,2,0,35652544,1524243109500,2018-04-21 00:51:49
1253216102,9180,1518605408,CAM-AL00,42.56.76.41:1935,9180_970624,548,2,800,24117888,1524243130755,2018-04-21 00:52:11
1253216102,9180,615439149,iPhone 6s Plus,182.150.11.164:1935,9180_917766,36,2,1200,35652544,1524243152407,2018-04-21 00:52:32
1253216102,9180,1522079591,iPhone 6s,61.190.114.26:1935,9180_963640,88,2,1200,35652544,1524243187788,2018-04-21 00:53:07
1253216102,9180,1515972825,vivo X20A,112.17.5.48:1935,9180_959889,59,1,1200,35652544,1524243194783,2018-04-21 00:53:14
1253216102,9180,1518337752,vivo Xplay6,117.157.18.29:1935,9180_967898,38,1,1200,35652544,1524243197223,2018-04-21 00:53:16
1253216102,9180,1519930370,iPhone 6s Plus,111.7.189.165:1935,9180_971392,8,1,1200,35652544,1524243228611,2018-04-21 00:53:48
1253216102,9180,342706773,iPhone 6s Plus,122.228.251.40:1935,9180_800213,13,1,1200,35652544,1524243249837,2018-04-21 00:54:10
